,no_neurons,electrode,correlation_coeff,inh_type,exc_type
347,10,2,-0.03498255950000989,RS,LTS
348,10,3,-0.04087055137185904,RS,LTS
349,10,4,-0.015248895671993423,RS,LTS
350,10,5,0.007854309589466129,RS,LTS
351,10,6,-0.029274079632594423,RS,LTS
352,10,7,-0.03534996092444009,RS,LTS
353,10,8,-0.00471297268761832,RS,LTS
354,10,9,-0.03394498029490151,RS,LTS
355,10,10,-0.017461544170298646,RS,LTS
356,10,11,-0.002397051944013242,RS,LTS
357,10,12,-0.001529222838768048,RS,LTS
358,10,13,-0.030934618455915493,RS,LTS
359,10,14,-0.018609015489005877,RS,LTS
360,10,15,-0.012973019849695747,RS,LTS
361,10,16,-0.0015859562465597424,RS,LTS
362,10,17,-0.014936263377074436,RS,LTS
363,10,18,0.004845422931527884,RS,LTS
364,10,19,-0.02620295143550405,RS,LTS
365,10,20,-0.010814106157298749,RS,LTS
366,10,21,0.007560445771974808,RS,LTS
367,10,22,0.02274828713298898,RS,LTS
368,100,0,-0.029471296305729675,RS,LTS
369,100,1,-0.03364054565191936,RS,LTS
370,100,2,-0.028480903339735412,RS,LTS
371,100,3,-0.024799962838896645,RS,LTS
372,100,4,-0.00950806362689497,RS,LTS
373,100,5,-0.01957047965298274,RS,LTS
374,100,6,-0.033325353007623,RS,LTS
375,100,7,-0.045699027222881675,RS,LTS
376,100,8,0.0009438495445845623,RS,LTS
377,100,9,-0.038473153822953556,RS,LTS
378,100,10,-0.020865946100304438,RS,LTS
379,100,11,0.01783302519246626,RS,LTS
380,100,12,0.0026511019533453405,RS,LTS
381,100,13,-0.01756714331423409,RS,LTS
382,100,14,-0.011551773904008602,RS,LTS
383,100,15,-0.00811717827439292,RS,LTS
384,100,16,-0.005865600087791384,RS,LTS
385,100,17,-0.007397754837900711,RS,LTS
386,100,18,0.008486990968156478,RS,LTS
387,100,19,-0.021975578807131205,RS,LTS
388,100,20,-0.025638382146002694,RS,LTS
389,100,21,-0.004767858978510734,RS,LTS
390,100,22,0.019370389460982407,RS,LTS
391,1000,0,0.013184954774035704,RS,LTS
392,1000,1,-0.04190599486928127,RS,LTS
393,1000,2,-0.032374210826597694,RS,LTS
394,1000,3,-0.028907097394354937,RS,LTS
395,1000,4,-0.014762955759155028,RS,LTS
396,1000,5,-0.060766087260296316,RS,LTS
397,1000,6,-0.03863846498244844,RS,LTS
398,1000,7,-0.05987942592933852,RS,LTS
399,1000,8,-0.011830320487382579,RS,LTS
400,1000,9,-0.05599774395453517,RS,LTS
401,1000,10,-0.0359803777740919,RS,LTS
402,1000,11,0.02917346581079419,RS,LTS
403,1000,12,-0.007289939846106085,RS,LTS
404,1000,13,-0.015423909221656476,RS,LTS
405,1000,14,-0.017206137694988223,RS,LTS
406,1000,15,-0.01307548169406271,RS,LTS
407,1000,16,-0.009564597566844359,RS,LTS
408,1000,17,-0.011244241294206106,RS,LTS
409,1000,18,0.010148755505064716,RS,LTS
